309,123,312,51,314,64,314,65
310,123,312,51,314,64,314,65
309,123,312,51,314,64,314,65
309,123,312,51,314,64,313,65
309,123,312,51,314,64,314,65
310,123,313,51,313,64,314,65
310,123,312,51,313,64,314,65
309,123,312,51,313,64,314,65
309,123,312,51,313,64,314,65
309,123,312,51,313,64,314,65
309,123,312,51,313,64,313,65
309,123,312,51,313,64,313,65
309,123,312,51,313,64,314,65
309,123,312,51,313,64,313,65
310,123,312,51,313,64,314,65
310,123,312,51,313,64,314,65
310,123,312,51,313,64,314,65
309,123,312,51,313,64,313,65
309,123,312,51,314,64,313,65
310,123,312,51,313,64,313,65
312,123,313,51,314,64,314,65
313,123,314,51,314,64,315,65
315,123,317,51,317,64,317,65
317,123,317,51,318,64,317,65
318,123,319,51,320,64,319,65
320,123,321,51,321,64,322,65
322,123,322,51,323,64,324,65
324,123,324,51,325,64,326,1
325,1,326,51,327,64,327,1
328,1,327,51,329,1,329,2
330,1,330,1,331,1,330,2
332,2,332,1,333,2,332,2
333,2,333,2,335,2,334,2
336,3,336,2,338,3,336,3
338,4,338,3,339,4,338,4
340,5,340,4,342,5,339,5
343,6,342,5,343,6,342,7
344,8,344,6,346,8,344,8
346,10,347,8,347,10,346,11
348,12,349,10,349,13,347,13
350,15,351,12,351,16,349,16
352,19,353,16,354,20,353,21
354,24,355,20,355,26,355,27
356,30,357,25,357,33,356,34
359,37,360,31,359,42,358,42
361,45,362,39,361,52,360,52
363,56,364,49,363,67,362,64
364,68,366,61,366,82,364,80
366,84,367,75,367,101,365,98
368,103,370,92,369,123,368,122
370,126,371,112,370,149,370,148
372,153,372,130,371,175,371,175
372,177,372,148,373,203,372,204
373,200,373,167,374,231,374,233
375,223,375,184,376,262,375,263
376,250,376,203,377,291,375,294
377,272,377,221,377,315,376,322
378,291,378,243,378,339,377,345
379,314,379,262,379,362,379,370
380,338,380,277,380,385,380,396
381,362,380,300,381,405,381,422
381,381,381,323,382,421,381,444
381,401,382,343,383,436,382,465
382,415,382,363,383,450,383,478
384,435,383,382,383,473,384,495
384,457,384,403,385,499,385,515
385,473,385,423,385,519,385,535
385,481,386,436,386,528,386,553
386,499,386,448,386,537,386,565
388,521,388,462,387,547,387,585
389,543,388,486,388,567,388,605
